2026-06-29 14:29:20,369 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-ADAPTIVE | subtask=0 | min=148ms | max=523ms | avg=279.35ms | windowEvents=40 | totalEvents=101
2026-06-29 14:29:20,461 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM15 | subtask=0 | min=163ms | max=719ms | avg=351.35ms | windowEvents=40 | totalEvents=101
2026-06-29 14:29:20,667 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM100 | subtask=0 | min=460ms | max=921ms | avg=624.63ms | windowEvents=40 | totalEvents=101
2026-06-29 14:29:21,370 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-ADAPTIVE | subtask=1 | min=209ms | max=692ms | avg=457.90ms | windowEvents=20 | totalEvents=21
2026-06-29 14:29:21,462 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM15 | subtask=1 | min=300ms | max=688ms | avg=458.00ms | windowEvents=20 | totalEvents=21
2026-06-29 14:29:21,668 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM100 | subtask=1 | min=507ms | max=1028ms | avg=760.40ms | windowEvents=20 | totalEvents=21
2026-06-29 14:29:22,099 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=0 | min=38ms | max=485ms | avg=172.90ms | windowEvents=50 | totalEvents=215
2026-06-29 14:29:22,099 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=1 | min=50ms | max=409ms | avg=166.82ms | windowEvents=45 | totalEvents=190
2026-06-29 14:29:22,163 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=1 | min=119ms | max=473ms | avg=234.20ms | windowEvents=45 | totalEvents=190
2026-06-29 14:29:22,163 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=0 | min=119ms | max=577ms | avg=248.26ms | windowEvents=50 | totalEvents=215
2026-06-29 14:29:22,192 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=1 | min=321ms | max=607ms | avg=439.58ms | windowEvents=45 | totalEvents=188
2026-06-29 14:29:22,192 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=0 | min=332ms | max=707ms | avg=453.04ms | windowEvents=50 | totalEvents=213
2026-06-29 14:29:22,583 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM15 | subtask=0 | min=139ms | max=4579ms | avg=2008.30ms | windowEvents=74 | totalEvents=148
2026-06-29 14:29:22,583 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM15 | subtask=1 | min=139ms | max=4571ms | avg=2243.38ms | windowEvents=92 | totalEvents=185
2026-06-29 14:29:22,596 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-ADAPTIVE | subtask=0 | min=81ms | max=4592ms | avg=1928.65ms | windowEvents=74 | totalEvents=148
2026-06-29 14:29:22,596 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-ADAPTIVE | subtask=1 | min=81ms | max=4584ms | avg=2163.76ms | windowEvents=92 | totalEvents=185
2026-06-29 14:29:22,792 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM100 | subtask=0 | min=484ms | max=4849ms | avg=2328.61ms | windowEvents=74 | totalEvents=148
2026-06-29 14:29:22,792 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM100 | subtask=1 | min=484ms | max=4850ms | avg=2568.72ms | windowEvents=92 | totalEvents=185
2026-06-29 14:29:23,884 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=1 | min=154ms | max=424ms | avg=300.30ms | windowEvents=56 | totalEvents=238
2026-06-29 14:29:23,884 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=1 | min=122ms | max=376ms | avg=266.29ms | windowEvents=56 | totalEvents=238
2026-06-29 14:29:24,268 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM100 | subtask=1 | min=436ms | max=666ms | avg=546.84ms | windowEvents=56 | totalEvents=238
2026-06-29 14:29:24,669 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=0 | min=170ms | max=382ms | avg=279.00ms | windowEvents=74 | totalEvents=340
2026-06-29 14:29:24,684 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=0 | min=147ms | max=379ms | avg=283.26ms | windowEvents=74 | totalEvents=340
2026-06-29 14:29:24,868 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM100 | subtask=0 | min=425ms | max=705ms | avg=555.04ms | windowEvents=74 | totalEvents=340
2026-06-29 14:29:27,070 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM15 | subtask=1 | min=212ms | max=739ms | avg=343.30ms | windowEvents=30 | totalEvents=51
